Y;X;tourism;information;name;hiking;ele;direction_east:1;direction_north:1;direction_south:1;website;board_type;direction_west:1;direction_south:2;direction_east:2;fireplace;addr:street;direction_west:2;direction_north:2;addr:housenumber;addr:postcode;direction_south:3;phone;addr:city;direction_east:3;operator;direction_southwest:1;map_type;amenity;direction_northeast:1;map_size;description;direction_southeast:1;direction_southwest:2;direction_north:3;direction_west:3;direction_northwest:1;wheelchair;wikidata;direction_southeast:2;name:fr;direction_northeast:2;name:de;opening_hours;artwork_type;mtb;direction_northwest:2;direction_south:4;direction_east:4;direction_southeast:3;direction_southwest:3;addr:country;ref;internet_access;Column1;_1
46.8427552;7.4563075;viewpoint;;Buetschelegg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.966386;6.861027;hotel;;H?tel de la Couronne;;;;;;;;;;;;Rue du Vieux-Moulin;;;1;2013;;;Colombier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.9627427;6.8209242;information;guidepost;Pont des Cl?es;;470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.9688236;6.8375454;information;guidepost;B?le;;544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.967725;6.8491485;information;guidepost;Colombier;yes;490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.9734307;6.8461131;information;guidepost;Cottendart;yes;551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5098457;6.6619414;museum;;Archeolab;;;;;;https://www.archeolab.ch/;;;;;;Avenue du Prieur?;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.55545;6.683376;hotel;;La Marmite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5435104;6.6608376;hotel;;Union;;;;;;;;;;;;;;;;;;;;;;;;pub;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5431419;6.6615547;information;guidepost;Croisettes M2;yes;715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5128725;6.6783224;information;map;Lutry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.512865;6.6783516;information;map;A la d?couverte des terrasses de Lavaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5265877;6.6888629;information;guidepost;Signal de Belmont;;767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4898395;6.7369084;guest_house;;Famille Longet-Voruz;;;;;;;;;;;;Route de Vevey;;;49;1096;;;Cully;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;
46.4910867;6.7353113;information;map;Appellation Epesses;;;;;;;;;;;;;;;;;;;;;A la d?couverte des terrasses de Lavaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4933944;6.7358851;information;guidepost;Riex;;443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4900523;6.7428543;hotel;;H?tel Lavaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;
46.4910092;6.7446857;information;guidepost;Epesses;;432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4903768;6.7464823;picnic_site;;la tonnelle ? Christian;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4967469;6.741045;picnic_site;;Tonnelle de Chanoz-Lussy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5053685;6.6611349;information;guidepost;Pully Port;;373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.6375865;6.6480646;cabin;;Refuge de Montfort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.6371576;6.6640225;information;map;Chemin des Bl?s;yes;;;;;;;;;;;;;;;;;;;;;;topo;;;region;;;;;;;;;;;;;;;;;;;;;;;;;
46.5224228;6.6498763;information;board;Sur les traces du renard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4936572;6.7158653;museum;;Maison Buttin-de-Lo?s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4932728;6.7170007;artwork;;Corto Maltese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;statue;;;;;;;;;;;
46.4904564;6.7188485;guest_house;;Petit Paradis;;;;;;;;;;;;Chemin de la Charrerette;;;2;1091;;41792125518;Bourg-en-Lavaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;
46.4949;6.7206759;information;map;Appellation Villette;;;;;;;;;;;;;;;;;;;;;A la d?couverte des terrasses de Lavaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5037579;6.6904767;information;guidepost;Lutry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5019115;6.698719;information;guidepost;Ch?telard;;410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.8126201;6.9530695;theme_park;;Payerneland Aventure;;;;;;http://www.payerneland-aventure.ch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;We,Sa-Su 14:00-19:00,Mo,Tu,Th off;;;;;;;;;;;;
46.8285879;6.9591151;information;guidepost;Corcelles Sud;yes;452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.829966;6.9667703;information;guidepost;Corcelles Nord;yes;462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.8159741;6.9933485;guest_house;;Bed & Breakfast;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.816949;7.0785534;information;board;Circuit de Belfaux;;;;;;;history;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.815945;7.0925909;information;board;Circuit de Belfaux;;;;;;;history;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;
46.8169152;7.1055949;information;guidepost;Belfaux Gare CFF;yes;613;;;;;;Circuit de Belfaux 02:15;;;;;La Sonnaz;;;;;;;;;;;;;;;;;;Bois des D?vins;;;;;;;;;;;;;;;;;;;;
